id,subject_id,teacher_id,group_id
245,26,31,2
246,18,18,10
247,57,48,7
248,14,37,1
249,25,81,3
250,72,54,6
251,58,78,10
252,18,21,1
253,13,95,5
254,68,49,1
255,36,89,4
256,71,76,7
257,17,27,5
258,32,63,7
259,9,77,9
260,58,63,6
261,41,63,2
262,54,45,10
263,68,56,10
264,66,58,1
265,61,87,2
266,30,35,10
267,17,88,10
268,63,21,3
269,69,79,4
270,17,100,6
271,48,38,2
272,63,72,7
273,65,77,3
274,9,66,9
275,41,22,4
276,26,8,3
277,43,40,7
278,65,96,5
279,1,100,1
280,20,2,7
281,7,28,5
282,16,98,10
283,68,31,7
284,9,48,3
285,58,95,6
286,50,43,6
287,47,22,7
288,32,20,2
289,9,79,3
290,61,12,9
291,6,24,4
292,58,20,6
293,34,56,8
294,68,90,10
295,5,71,9
296,33,62,3
297,45,81,8
298,3,19,7
299,66,44,7
300,11,32,6
301,66,73,7
302,20,54,5
303,20,73,2
304,22,39,3
305,58,42,8
306,16,61,10
307,59,74,10
308,31,38,8
309,38,86,8
310,18,80,3
311,11,79,1
312,29,32,3
313,31,100,7
314,11,43,2
315,2,95,9
316,31,45,6
317,52,86,1
318,68,33,5
319,11,92,3
320,11,34,1
321,43,80,9
322,61,75,7
323,2,64,8
324,72,15,3
325,37,58,6
326,61,29,5
327,11,63,1
328,15,12,8
329,52,50,2
330,31,93,3
331,64,52,3
332,32,42,3
333,55,94,7
334,34,36,3
335,52,16,7
336,32,69,7
337,37,20,1
338,48,63,4
339,51,19,2
340,33,21,10
341,36,73,3
342,56,75,9
343,68,52,9
344,6,91,9
345,8,67,7
346,67,14,2
347,30,50,3
348,11,49,1
349,36,79,1
350,54,94,1
351,25,24,8
352,58,70,7
353,19,53,9
354,55,26,8
355,69,77,5
356,55,30,5
357,71,89,9
358,43,29,3
359,26,98,10
360,29,34,6
361,19,45,8
362,35,68,7
363,24,40,8
364,54,78,4
365,26,66,4
366,62,92,5
367,67,11,3
368,3,11,5
369,11,65,6
370,2,38,2
371,5,26,6
372,72,52,8
373,18,47,7
374,34,13,9
375,55,7,2
376,57,26,3
377,18,1,7
378,45,3,9
379,16,81,5
380,7,36,5
381,26,37,7
382,24,62,7
383,29,98,7
384,34,22,2
385,34,88,10
386,57,99,10
387,46,70,4
388,21,9,5
389,6,46,1
390,12,51,8
391,64,14,9
392,4,99,1
393,60,13,9
394,40,77,5
395,6,69,9
396,36,62,2
397,12,89,9
398,35,30,9
399,20,45,8
400,13,25,7
401,29,12,8
402,55,11,2
403,62,97,4
404,67,39,4
405,45,5,9
406,61,51,9
407,49,52,3
408,36,52,3
409,54,93,6
410,40,26,7
411,17,29,6
412,55,64,9
413,68,16,6
414,5,89,4
415,11,94,2
416,55,88,9
417,7,83,8
418,15,82,7
419,52,95,3
420,62,47,3
421,47,33,4
422,49,95,7
423,18,46,1
424,71,77,7
425,59,39,6
426,37,76,2
427,39,69,8
428,24,59,6
429,17,16,3
430,1,2,6
431,17,71,10
432,3,72,5
433,66,60,7
434,30,28,10
435,11,76,4
436,60,30,9
437,64,6,8
438,65,38,6
439,35,44,3
440,6,58,7
441,48,41,1
442,69,1,3
443,59,54,5
444,55,3,5
445,50,60,5
446,28,72,9
447,67,84,10
448,1,11,10
449,57,48,1
450,31,49,6
451,49,35,7
452,20,47,5
453,41,39,5
454,19,27,3
455,16,23,6
456,9,10,5
457,62,99,6
458,1,91,10
459,13,20,10
460,18,62,2
461,28,21,4
462,1,47,7
463,40,40,3
464,25,1,5
465,57,98,6
466,41,99,8
467,22,79,10
468,58,69,4
469,12,90,4
470,58,46,4
471,60,27,7
472,44,9,5
473,54,49,6
474,12,29,1
475,62,25,5
476,24,80,3
477,23,61,6
478,3,23,9
479,64,59,5
480,65,13,5
481,45,12,2
482,14,39,10
483,60,45,3
484,37,84,8
485,20,35,8
486,53,29,4
487,67,91,9
488,50,72,10
489,69,1,7
490,67,59,10
491,12,16,3
492,32,82,7
493,16,65,7
494,47,90,1
495,33,86,4
496,61,10,4
497,2,80,1
498,3,75,3
499,48,55,10
500,20,41,1
501,32,67,10
502,15,18,10
503,40,16,9
504,49,85,4
505,20,31,4
506,17,38,7
507,43,43,6
508,2,22,1
509,68,81,4
510,68,20,2
511,25,77,4
512,44,29,10
513,27,93,4
514,69,47,5
515,18,32,4
516,52,58,5
517,71,58,7
518,37,85,7
519,24,47,3
520,56,16,5
521,40,50,6
522,71,92,5
523,11,5,8
524,37,58,6
525,24,82,5
526,27,67,5
527,52,55,8
528,70,100,7
529,1,26,9
530,53,90,7
531,17,100,2
532,23,72,1
533,69,95,2
534,25,73,6
535,26,9,4
536,33,70,1
537,55,65,5
538,3,73,10
539,33,38,3
540,52,10,3
541,64,37,6
542,24,52,7
543,12,77,7
544,21,86,9
545,33,88,9
546,32,34,1
547,15,64,6
548,53,69,9
549,19,68,4
550,9,17,8
551,26,32,3
552,72,49,7
553,43,34,9
554,42,27,7
555,48,92,3
556,9,27,7
557,3,43,4
558,35,61,5
559,29,85,9
560,16,16,7
561,70,18,1
562,16,73,3
563,57,79,4
564,63,56,3
565,67,19,4
566,48,87,6
567,21,30,7
568,12,88,4
569,70,70,3
570,5,91,1
571,2,28,9
572,51,96,3
573,2,90,2
574,49,39,2
575,49,55,1
576,4,80,6
577,27,44,5
578,20,55,8
579,7,33,5
580,11,62,1
581,45,4,5
582,21,32,8
583,54,29,3
584,51,42,7
585,52,75,6
586,48,6,1
587,65,35,1
588,72,92,3
589,30,10,9
590,53,60,6
591,5,71,3
592,35,46,8
593,22,52,3
594,67,32,7
595,49,62,7
596,61,44,1
597,61,13,10
598,8,85,1
599,27,9,5
600,59,28,4
601,5,24,4
602,51,4,5
603,71,70,5
604,45,66,2
605,44,45,2
606,4,55,3
607,15,34,7
608,57,24,6
609,17,63,3
610,16,46,3
611,22,100,8
612,32,79,10
613,49,23,2
614,55,92,8
615,42,48,8
616,48,49,5
617,3,48,8
618,45,14,7
619,21,56,8
620,69,77,7
621,41,58,7
622,15,52,10
623,62,37,4
624,20,52,5
625,33,25,8
626,14,53,7
627,55,97,2
628,36,100,5
629,70,59,6
630,41,12,5
631,56,52,7
632,62,82,8
633,30,18,3
634,60,28,8
635,40,20,4
636,72,21,3
637,60,18,7
638,47,34,6
639,4,40,6
640,14,65,10
641,64,83,5
642,47,11,7
643,66,85,8
644,34,24,10
645,70,92,6
646,41,66,4
647,12,81,2
648,29,7,5
649,41,6,6
650,35,65,1
651,64,81,8
652,36,46,1
653,40,20,9
654,38,58,7
655,57,92,4
656,65,54,7
657,56,28,8
658,31,90,9
659,4,27,4
660,72,86,7
661,36,67,5
662,34,11,5
663,7,77,5
664,3,1,1
665,46,13,3
666,12,75,4
667,24,59,4
668,69,73,4
669,10,44,8
670,26,75,8
671,7,61,9
672,42,42,10
673,40,38,10
674,70,64,2
675,49,99,3
676,58,99,5
677,15,12,8
678,69,37,6
679,61,25,5
680,43,52,1
681,4,85,5
682,44,29,8
683,58,47,8
684,60,25,9
685,6,49,6
686,71,44,1
687,22,90,5
688,11,60,7
689,2,24,9
690,52,27,5
691,63,70,6
692,36,34,4
693,47,52,7
694,64,31,10
695,52,22,5
696,21,57,9
697,39,7,10
698,47,73,10
699,24,8,9
700,51,23,2
701,57,88,4
702,17,33,2
703,58,23,3
704,13,18,10
705,63,14,2
706,11,11,7
707,13,15,10
708,3,35,7
709,39,25,1
710,13,70,9
711,14,17,6
712,36,67,9
713,40,94,6
714,61,16,2
715,20,55,10
716,3,53,9
717,44,10,7
718,1,50,2
719,28,29,2
720,34,17,7
721,55,95,5
722,20,71,2
723,60,56,6
724,57,27,7
725,20,15,9
726,14,40,3
727,32,22,7
728,60,31,8
729,36,98,5
730,16,30,4
731,55,47,1
732,61,44,6
733,67,46,8
734,21,71,5
735,37,73,8
736,58,87,3
737,45,77,4
738,64,10,6
739,43,68,4
740,61,81,1
741,8,56,5
742,14,85,10
743,26,54,10
744,11,5,10
745,64,44,10
746,5,99,8
747,69,18,6
748,50,31,1
749,17,64,1
750,16,18,3
751,47,18,6
752,60,53,10
753,15,91,4
754,49,82,7
755,36,45,4
756,19,100,10
757,2,4,2
758,33,18,10
759,71,67,9
760,62,7,9
761,69,21,8
762,42,60,3
763,30,2,4
764,48,43,6
765,41,9,8
766,41,16,8
767,32,97,5
768,14,30,3
769,54,84,8
770,70,90,5
771,71,7,10
772,26,14,2
773,10,13,9
774,46,7,3
775,24,59,3
776,63,39,5
777,5,100,7
778,13,80,10
779,34,59,8
780,21,87,3
781,72,95,7
782,43,97,4
783,6,78,6
784,50,82,10
785,65,53,7
786,8,79,9
787,67,71,4
788,29,100,9
789,35,87,4
790,59,22,3
791,25,28,3
792,51,58,7
793,35,53,2
794,31,69,1
795,15,50,1
796,31,85,4
797,53,5,8
798,63,91,7
799,70,10,1
800,58,22,2
801,15,24,5
802,25,25,3
803,70,4,5
804,29,11,3
805,42,43,6
806,69,96,10
807,23,19,2
808,43,75,10
809,28,50,5
810,55,50,10
811,16,81,8
812,66,19,6
813,57,12,3
814,43,30,3
815,12,91,5
816,16,31,2
817,51,59,2
818,6,55,8
819,42,7,6
820,67,36,5
821,14,77,7
822,50,79,8
823,25,12,6
824,6,72,8
825,51,3,10
826,57,83,2
827,67,63,1
828,34,52,7
829,44,34,9
830,38,62,8
831,8,87,6
832,66,39,6
833,65,80,4
834,65,45,8
835,47,31,2
836,66,67,2
837,51,81,1
838,3,50,7
839,6,51,10
840,57,63,6
841,53,74,1
842,6,94,1
843,51,47,4
844,5,97,4
845,51,97,8
846,51,13,9
847,51,18,6
848,48,21,4
849,6,16,2
850,41,90,3
851,17,23,8
852,61,66,1
853,21,98,2
854,17,64,9
855,65,52,8
856,38,32,7
857,6,65,3
858,52,39,3
859,32,88,7
860,46,43,8
861,43,27,9
862,52,99,6
863,24,99,4
864,12,31,2
865,30,44,10
866,46,32,8
867,33,44,7
868,15,44,6
869,13,78,1
870,69,76,9
871,16,72,8
872,23,56,9
873,72,64,7
874,1,83,2
875,71,83,4
876,69,8,1
877,56,36,4
878,13,86,8
879,49,85,5
880,60,67,7
881,48,18,3
882,15,48,3
883,62,36,3
884,24,83,6
885,42,66,1
886,9,29,4
887,69,92,4
888,9,10,1
889,58,61,10
890,41,9,4
891,3,46,5
892,51,24,8
893,17,75,5
894,63,9,6
895,35,27,4
896,71,11,1
897,23,51,1
898,56,93,8
899,9,65,9
900,56,60,1
901,55,69,9
902,36,71,5
903,39,90,7
904,32,6,10
905,13,43,10
906,28,70,3
907,33,2,5
908,10,77,5
909,68,11,4
910,7,34,6
911,26,12,3
912,12,82,3
913,22,52,10
914,54,57,1
915,20,54,4
916,65,77,3
917,61,16,2
918,48,32,3
919,21,25,1
920,18,69,1
921,57,98,3
922,10,83,7
923,39,20,7
924,24,22,2
925,2,8,3
926,70,100,2
927,15,74,1
928,26,24,4
929,36,24,10
930,54,19,6
931,40,38,6
932,23,41,9
933,63,13,6
934,47,52,2
935,58,88,9
936,16,6,7
937,16,69,1
938,12,67,8
939,42,84,1
940,70,77,6
941,19,87,3
942,71,77,4
943,9,32,3
944,69,87,7
945,57,67,1
946,64,59,2
947,55,31,6
948,30,23,6
949,21,11,4
950,21,11,5
951,58,62,6
952,70,57,7
953,26,4,8
954,9,13,10
955,56,5,9
956,66,55,7
957,57,54,6
958,54,85,2
959,44,40,1
960,1,98,8
961,60,36,9
962,49,19,9
963,11,8,10
964,62,38,7
965,4,64,10
966,39,35,8
967,9,73,10
968,25,73,1
969,27,13,4
970,43,5,4
971,61,20,8
972,5,58,8
973,1,7,1
974,71,76,1
975,4,100,2
976,21,49,9
977,23,96,9
978,70,75,9
979,7,56,5
980,59,78,3
981,53,62,1
982,61,80,4
983,59,74,2
984,53,1,5
985,65,90,10
986,36,52,6
987,48,8,10
988,72,51,4
989,7,73,7
990,44,87,1
991,43,27,1
992,52,21,2
993,28,48,3
994,27,31,9
995,10,65,5
996,39,56,3
997,23,42,10
998,40,80,10
999,70,59,9
1000,22,73,4
